@relation 'table_train-weka.filters.unsupervised.attribute.Remove-R1-2,6-11,14'

@attribute u numeric
@attribute g numeric
@attribute r numeric
@attribute class {STAR,GALAXY,QSO}
@attribute redshift numeric

@data
1.178399,0.419498,0.071408,GALAXY,-0.230477
-0.697643,-0.188885,-0.083732,STAR,-0.368304
0.513771,0.433092,0.320901,GALAXY,-0.080485
1.065559,2.008193,2.575818,STAR,-0.368052
-0.795826,-0.646076,-0.563754,STAR,-0.370382
0.52515,0.6635,0.696892,GALAXY,-0.277112
0.178069,1.280854,1.533208,QSO,4.101276
0.595138,1.108967,1.62581,GALAXY,-0.354123
0.872653,-0.112508,-0.508683,GALAXY,-0.133397
-2.508303,-2.371572,-1.597985,STAR,-0.369228
0.763633,1.855077,1.973601,QSO,2.918517
-0.308215,-0.335678,-0.251865,STAR,-0.36852
-3.083332,-2.522159,-2.031759,STAR,-0.367598
-0.667387,-0.124837,0.197237,GALAXY,-0.286357
-0.950146,-0.551205,-0.297097,STAR,-0.367465
0.288849,0.58066,0.67308,STAR,-0.367979
1.107074,0.714273,0.261188,GALAXY,-0.097442
0.931369,0.11638,-0.362704,GALAXY,-0.048912
0.853462,0.953141,1.102475,GALAXY,-0.169029
0.728447,0.249833,0.118119,GALAXY,-0.102138
0.470411,0.409135,0.0593,GALAXY,0.065569
-1.22666,0.11165,0.530745,QSO,0.436651
-0.062777,-0.367904,-0.608422,GALAXY,-0.175417
0.672731,0.600812,0.334629,GALAXY,-0.087021
-2.151747,-1.603377,-1.241579,STAR,-0.366382
0.86366,0.728653,0.493092,GALAXY,-0.032063
-0.823262,-0.863953,-0.833331,STAR,-0.368479
1.090897,0.850245,0.738122,STAR,-0.368573
-0.013004,0.317601,0.592483,STAR,-0.367999
0.501319,0.836662,1.04939,STAR,-0.36671
-0.03903,-0.68536,-0.955347,GALAXY,-0.211824
0.565677,0.031064,-0.323263,GALAXY,-0.06501
-0.625293,-0.783526,-0.83624,GALAXY,-0.25953
0.229782,0.2885,0.37037,STAR,-0.367079
0.190835,-0.447225,-0.758948,GALAXY,-0.299159
-1.162109,-0.694022,-0.493138,STAR,-0.367259
1.087546,0.476797,0.009718,GALAXY,-0.070891
-2.747268,-2.09729,-1.628378,STAR,-0.366754
-0.135838,-0.906212,-1.206195,GALAXY,-0.098722
0.564845,0.748295,0.818314,STAR,-0.366559
1.029673,0.866305,0.563812,GALAXY,0.098255
-1.762091,-0.191681,0.584046,STAR,-0.36794
-0.662637,-0.928554,-1.082174,GALAXY,-0.139791
-2.295435,-2.176516,-1.978627,GALAXY,-0.320767
-2.725317,-2.016778,-1.538846,STAR,-0.368142
-0.917816,-1.551934,-1.718589,GALAXY,-0.231978
0.543738,1.226074,1.563337,GALAXY,-0.136129
-0.481424,-1.223413,-1.486835,GALAXY,-0.157585
1.04186,0.872608,0.671479,GALAXY,-0.098029
0.355111,0.178642,-0.020695,GALAXY,-0.160742
0.557299,1.128418,1.138499,GALAXY,0.112404
-0.078893,-0.271959,-0.532693,GALAXY,-0.07123
-0.183766,-0.246142,-0.191238,GALAXY,-0.250259
0.692597,1.98262,2.475025,STAR,-0.368134
0.306918,0.365813,0.227348,GALAXY,-0.329098
0.581311,0.690773,0.696016,GALAXY,-0.31742
0.476065,0.204651,0.156901,GALAXY,-0.367953
0.562579,0.833898,1.02266,STAR,-0.366766
1.17453,2.225538,2.41292,QSO,4.380609
-2.466896,-1.952953,-1.560276,STAR,-0.368457
0.727928,1.086775,1.140392,GALAXY,-0.064863
0.854402,0.078446,-0.150667,GALAXY,-0.227118
0.276408,0.663149,0.705639,GALAXY,-0.12325
0.77048,0.482143,0.195072,GALAXY,-0.181542
-0.754576,-0.694192,-0.596662,STAR,-0.366405
0.842842,0.410485,0.055788,GALAXY,-0.078094
-0.089393,-0.77041,-0.83672,STAR,-0.368077
0.587471,0.500871,0.412006,GALAXY,-0.11614
-1.351314,-1.225018,-0.451267,STAR,-0.365933
0.908888,0.574166,0.352603,GALAXY,-0.186927
0.580612,-0.314558,-0.655264,GALAXY,-0.164073
-1.290283,-1.531219,-1.394996,STAR,-0.367867
0.083684,0.20228,0.256179,GALAXY,-0.182133
-0.008749,0.17048,0.212255,GALAXY,-0.223796
0.748433,0.633293,1.118764,STAR,-0.366573
-0.151449,0.015503,0.082547,GALAXY,-0.246358
0.933575,0.556225,0.289491,GALAXY,-0.217038
0.260424,0.248239,0.282627,STAR,-0.367021
1.065727,0.156609,-0.440025,GALAXY,-0.049127
0.295081,1.417442,1.865802,QSO,1.024789
-0.044563,0.199793,0.252055,STAR,-0.3664
0.942749,0.749602,0.669351,GALAXY,-0.160125
-1.682749,-1.095487,-0.614853,STAR,-0.36853
0.182517,-0.572728,-0.849055,GALAXY,-0.168126
0.00979,-0.240966,-0.264086,GALAXY,-0.367953
0.782462,0.44557,0.383392,STAR,-0.367175
1.107869,0.890655,0.850732,STAR,-0.368529
0.141352,0.145545,0.043632,GALAXY,-0.160897
0.66627,0.455051,0.388373,STAR,-0.370461
0.281315,0.199453,0.177342,STAR,-0.368576
0.969509,1.944527,1.988053,QSO,1.902847
-0.499735,-1.080448,-1.328588,GALAXY,-0.21783
0.468941,0.646313,0.8034,STAR,-0.365649
0.321697,0.251279,0.221445,STAR,-0.369752
0.570764,0.19534,-0.043603,GALAXY,-0.157212
1.091596,0.655379,0.521556,STAR,-0.368083
0.329809,0.386135,0.402515,GALAXY,-0.302233
0.378015,0.650129,0.738038,GALAXY,-0.12395
0.836924,1.14283,1.247813,STAR,-0.369867
-0.187479,-0.166842,-0.111611,STAR,-0.368227
